epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,420.906,0.78386,0.73174,1.26753,0.92628,0.86944,0.92825,0.72786,0.83758,0.61308,1.37714,0.0011882,0.0011882,0.0011882
43,430.88,0.79847,0.73656,1.27242,0.94461,0.84273,0.92312,0.70459,0.90222,0.71091,1.45051,0.0011684,0.0011684,0.0011684
44,440.908,0.79131,0.74869,1.2755,0.90637,0.86944,0.92183,0.69524,0.9214,0.70076,1.4642,0.0011486,0.0011486,0.0011486
45,450.903,0.76296,0.70931,1.24416,0.94928,0.86944,0.92814,0.71837,0.85895,0.64397,1.42591,0.0011288,0.0011288,0.0011288
46,460.777,0.77818,0.7221,1.26361,0.93669,0.8635,0.93752,0.72546,0.85552,0.6418,1.40579,0.001109,0.001109,0.001109
47,470.916,0.78033,0.71822,1.26058,0.93395,0.88111,0.93579,0.74495,0.7904,0.57793,1.34807,0.0010892,0.0010892,0.0010892
48,480.891,0.76868,0.72262,1.25779,0.93841,0.85896,0.9281,0.72964,0.85252,0.65769,1.41003,0.0010694,0.0010694,0.0010694
49,490.81,0.76241,0.68776,1.24214,0.88412,0.88724,0.93762,0.73453,0.84364,0.62176,1.37397,0.0010496,0.0010496,0.0010496
50,500.883,0.74133,0.67763,1.23647,0.91277,0.90041,0.93668,0.74369,0.83486,0.59365,1.40685,0.0010298,0.0010298,0.0010298
51,511,0.76385,0.70709,1.24778,0.91744,0.8724,0.92844,0.74388,0.78036,0.6066,1.33329,0.00101,0.00101,0.00101
52,521.013,0.73617,0.67568,1.22033,0.9153,0.86579,0.92683,0.71874,0.8687,0.63606,1.41142,0.0009902,0.0009902,0.0009902
53,531.034,0.75531,0.66864,1.23495,0.93095,0.89614,0.9439,0.73775,0.84793,0.58139,1.41913,0.0009704,0.0009704,0.0009704
54,541.085,0.74724,0.67779,1.22803,0.92016,0.87834,0.93737,0.75277,0.74345,0.58771,1.31197,0.0009506,0.0009506,0.0009506
55,551.064,0.72153,0.65926,1.20501,0.92382,0.89021,0.92965,0.71667,0.84506,0.61839,1.42581,0.0009308,0.0009308,0.0009308
56,561.02,0.72575,0.65207,1.21472,0.90929,0.90801,0.9434,0.75803,0.80999,0.53996,1.3656,0.000911,0.000911,0.000911
57,571.334,0.73203,0.65436,1.21627,0.92923,0.89611,0.93435,0.74081,0.80763,0.62233,1.36787,0.0008912,0.0008912,0.0008912
58,581.261,0.70924,0.64603,1.20928,0.92082,0.8724,0.92824,0.74124,0.79828,0.62289,1.35362,0.0008714,0.0008714,0.0008714
59,591.08,0.71775,0.6431,1.21302,0.92563,0.88641,0.94586,0.7453,0.79641,0.60714,1.35325,0.0008516,0.0008516,0.0008516
60,601.092,0.72017,0.63308,1.21596,0.93639,0.87368,0.93057,0.73087,0.82607,0.58645,1.39908,0.0008318,0.0008318,0.0008318
61,611.172,0.69469,0.63048,1.209,0.94619,0.88706,0.93924,0.7504,0.79734,0.57299,1.35127,0.000812,0.000812,0.000812
62,621.297,0.69106,0.61842,1.19127,0.93418,0.87537,0.93771,0.76085,0.75897,0.57006,1.31678,0.0007922,0.0007922,0.0007922
63,631.243,0.68771,0.6204,1.18742,0.92302,0.89021,0.93152,0.75009,0.78097,0.59541,1.33813,0.0007724,0.0007724,0.0007724
64,641.159,0.7074,0.62547,1.20071,0.93156,0.88724,0.93907,0.74033,0.82186,0.588,1.37823,0.0007526,0.0007526,0.0007526
65,651.277,0.67545,0.60088,1.17286,0.92744,0.87229,0.93215,0.74655,0.75948,0.58183,1.3289,0.0007328,0.0007328,0.0007328
66,661.355,0.66575,0.59538,1.17402,0.8977,0.89021,0.92499,0.74025,0.78125,0.62397,1.35232,0.000713,0.000713,0.000713
67,671.525,0.67407,0.60723,1.18231,0.9155,0.90023,0.9465,0.77395,0.76988,0.54241,1.33883,0.0006932,0.0006932,0.0006932
68,681.638,0.66396,0.58571,1.17298,0.93765,0.87537,0.9399,0.75861,0.74559,0.5807,1.31429,0.0006734,0.0006734,0.0006734
69,691.832,0.6514,0.5583,1.16493,0.94046,0.89051,0.94056,0.75397,0.81171,0.55446,1.36205,0.0006536,0.0006536,0.0006536
70,701.86,0.64981,0.56873,1.15182,0.92339,0.8584,0.93156,0.75656,0.78991,0.5926,1.34805,0.0006338,0.0006338,0.0006338
71,711.883,0.66312,0.57911,1.17114,0.92349,0.89542,0.92871,0.75281,0.77509,0.57149,1.33716,0.000614,0.000614,0.000614
72,721.838,0.65022,0.56862,1.16526,0.92231,0.87834,0.9321,0.76239,0.77612,0.55357,1.3382,0.0005942,0.0005942,0.0005942
73,732.028,0.64747,0.5779,1.16625,0.91822,0.88427,0.93161,0.75739,0.74137,0.5818,1.28942,0.0005744,0.0005744,0.0005744
74,741.953,0.6542,0.57212,1.1666,0.94259,0.86944,0.93425,0.7643,0.7532,0.58341,1.29534,0.0005546,0.0005546,0.0005546
75,751.962,0.63096,0.54235,1.15025,0.94207,0.86053,0.9381,0.75401,0.7968,0.57735,1.3527,0.0005348,0.0005348,0.0005348
76,761.949,0.62993,0.5578,1.14609,0.91249,0.89732,0.92151,0.74194,0.78237,0.57811,1.34252,0.000515,0.000515,0.000515
77,772.144,0.64426,0.56797,1.15697,0.938,0.87537,0.94629,0.77787,0.71999,0.53137,1.26077,0.0004952,0.0004952,0.0004952
78,782.152,0.63761,0.55828,1.15022,0.94061,0.8724,0.93453,0.7594,0.76747,0.56373,1.32188,0.0004754,0.0004754,0.0004754
79,792.138,0.62967,0.5454,1.1497,0.93553,0.88724,0.93952,0.7627,0.74934,0.5655,1.28475,0.0004556,0.0004556,0.0004556
80,802.258,0.61489,0.53173,1.13396,0.91534,0.86619,0.92521,0.75047,0.75377,0.54858,1.30146,0.0004358,0.0004358,0.0004358
81,812.329,0.61194,0.53036,1.13583,0.94208,0.86871,0.9351,0.77235,0.75511,0.54511,1.30182,0.000416,0.000416,0.000416
82,822.38,0.63044,0.54257,1.14274,0.94619,0.8635,0.93753,0.77529,0.71809,0.53959,1.27472,0.0003962,0.0003962,0.0003962
83,832.621,0.59967,0.53419,1.12633,0.95778,0.87514,0.93501,0.77143,0.73799,0.54081,1.2915,0.0003764,0.0003764,0.0003764
84,842.672,0.60207,0.52248,1.12879,0.93553,0.8724,0.9296,0.77579,0.74745,0.54689,1.29793,0.0003566,0.0003566,0.0003566
85,852.503,0.59787,0.51217,1.12982,0.93855,0.89911,0.93928,0.78076,0.72509,0.54159,1.27609,0.0003368,0.0003368,0.0003368
86,862.67,0.5953,0.5039,1.11387,0.93799,0.88131,0.93554,0.78396,0.7515,0.5621,1.30163,0.000317,0.000317,0.000317
87,873.391,0.58891,0.51227,1.12595,0.94652,0.89274,0.93483,0.77374,0.74334,0.53482,1.2996,0.0002972,0.0002972,0.0002972
88,884.221,0.60016,0.50517,1.12464,0.92146,0.88724,0.93523,0.77528,0.75218,0.53595,1.32139,0.0002774,0.0002774,0.0002774
89,894.65,0.60304,0.52196,1.12552,0.94529,0.87158,0.93569,0.77593,0.73495,0.55993,1.27486,0.0002576,0.0002576,0.0002576
90,905.685,0.57157,0.48852,1.10919,0.93377,0.87856,0.93481,0.7765,0.74736,0.53141,1.29567,0.0002378,0.0002378,0.0002378
91,918.701,0.50201,0.42475,1.0654,0.94762,0.88427,0.93805,0.76383,0.72687,0.53707,1.30581,0.000218,0.000218,0.000218
92,928.989,0.48555,0.36857,1.04891,0.92422,0.89318,0.93519,0.76721,0.71498,0.5453,1.29508,0.0001982,0.0001982,0.0001982
93,939.287,0.46399,0.34047,1.02752,0.93111,0.89911,0.94162,0.78276,0.71838,0.52663,1.30631,0.0001784,0.0001784,0.0001784
94,949.41,0.469,0.35006,1.03191,0.94975,0.89731,0.94256,0.7827,0.70544,0.50521,1.2926,0.0001586,0.0001586,0.0001586
95,959.536,0.44845,0.32945,1.02268,0.93555,0.9045,0.94344,0.78547,0.69497,0.50864,1.27571,0.0001388,0.0001388,0.0001388
96,969.744,0.45026,0.33404,1.03,0.9449,0.89911,0.93871,0.78489,0.70085,0.50633,1.27222,0.000119,0.000119,0.000119
97,979.818,0.44309,0.32993,1.01516,0.9487,0.89021,0.9367,0.78265,0.68543,0.51153,1.26233,9.92e-05,9.92e-05,9.92e-05
98,989.952,0.4416,0.31881,1.01333,0.94678,0.89736,0.9406,0.79022,0.69203,0.5054,1.27363,7.94e-05,7.94e-05,7.94e-05
99,1000.32,0.43808,0.31533,1.01759,0.93797,0.89738,0.94024,0.7894,0.69979,0.50755,1.28047,5.96e-05,5.96e-05,5.96e-05
100,1010.52,0.43738,0.32805,1.00895,0.93572,0.90711,0.94157,0.78921,0.68584,0.50083,1.2664,3.98e-05,3.98e-05,3.98e-05
