epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,432.578,0.78944,0.7509,1.26323,0.93084,0.8786,0.94126,0.73494,0.80966,0.61851,1.36261,0.0011882,0.0011882,0.0011882
43,442.648,0.80551,0.74489,1.27803,0.87193,0.86647,0.9243,0.68708,0.90171,0.69851,1.47354,0.0011684,0.0011684,0.0011684
44,452.709,0.79106,0.73936,1.27341,0.91905,0.84225,0.90022,0.6705,0.92697,0.79394,1.45954,0.0011486,0.0011486,0.0011486
45,463.28,0.76499,0.70308,1.23508,0.92295,0.88866,0.94181,0.73503,0.81702,0.61801,1.37808,0.0011288,0.0011288,0.0011288
46,473.506,0.77364,0.70986,1.25863,0.9287,0.88896,0.93672,0.73396,0.82065,0.58315,1.36627,0.001109,0.001109,0.001109
47,483.678,0.769,0.70337,1.25161,0.9127,0.8724,0.92375,0.72389,0.83005,0.62301,1.39785,0.0010892,0.0010892,0.0010892
48,493.887,0.77283,0.7141,1.25601,0.95037,0.85225,0.93787,0.71283,0.86943,0.61312,1.4446,0.0010694,0.0010694,0.0010694
49,504.046,0.75271,0.68389,1.23122,0.93365,0.83509,0.92504,0.69697,0.89006,0.70571,1.43094,0.0010496,0.0010496,0.0010496
50,514.697,0.74735,0.67531,1.23551,0.92276,0.88622,0.93549,0.72873,0.83624,0.61521,1.37269,0.0010298,0.0010298,0.0010298
51,525.144,0.75265,0.69046,1.23543,0.87923,0.88427,0.9313,0.73211,0.81539,0.68643,1.3685,0.00101,0.00101,0.00101
52,535.303,0.73533,0.66603,1.22019,0.91756,0.85757,0.93253,0.74282,0.78006,0.61891,1.32797,0.0009902,0.0009902,0.0009902
53,545.367,0.74909,0.66541,1.23666,0.94443,0.85163,0.92915,0.73945,0.79748,0.63225,1.37763,0.0009704,0.0009704,0.0009704
54,555.309,0.75651,0.68272,1.2413,0.93857,0.88131,0.94879,0.73525,0.80189,0.60117,1.38719,0.0009506,0.0009506,0.0009506
55,565.599,0.71857,0.65737,1.20777,0.94651,0.89021,0.93266,0.73586,0.81832,0.57674,1.38603,0.0009308,0.0009308,0.0009308
56,576.399,0.72834,0.6514,1.21227,0.91906,0.89021,0.93453,0.74301,0.79966,0.58255,1.3715,0.000911,0.000911,0.000911
57,586.386,0.72691,0.63635,1.21206,0.92137,0.8635,0.92202,0.74102,0.77002,0.65212,1.32043,0.0008912,0.0008912,0.0008912
58,596.488,0.7114,0.64625,1.20739,0.92857,0.88721,0.92855,0.75091,0.74187,0.59041,1.30581,0.0008714,0.0008714,0.0008714
59,606.633,0.70067,0.63483,1.20082,0.94579,0.88017,0.95069,0.75166,0.79437,0.56631,1.37338,0.0008516,0.0008516,0.0008516
60,616.562,0.71594,0.63412,1.20957,0.91668,0.88427,0.93681,0.75462,0.79419,0.56923,1.35553,0.0008318,0.0008318,0.0008318
61,626.813,0.68279,0.62558,1.20444,0.89914,0.89614,0.9417,0.75002,0.76317,0.58237,1.31088,0.000812,0.000812,0.000812
62,637.089,0.69111,0.62297,1.18804,0.91502,0.89465,0.94078,0.75957,0.74015,0.56335,1.27575,0.0007922,0.0007922,0.0007922
63,647.161,0.68377,0.60733,1.18319,0.89104,0.89911,0.9415,0.7653,0.74473,0.59523,1.28719,0.0007724,0.0007724,0.0007724
64,657.269,0.70848,0.61781,1.1987,0.91463,0.8724,0.9315,0.75741,0.76047,0.607,1.3048,0.0007526,0.0007526,0.0007526
65,667.299,0.6854,0.60647,1.18129,0.9062,0.90504,0.93736,0.76293,0.75823,0.55167,1.31917,0.0007328,0.0007328,0.0007328
66,677.332,0.68236,0.5914,1.17966,0.93013,0.90852,0.94517,0.76461,0.74259,0.5836,1.30165,0.000713,0.000713,0.000713
67,687.347,0.68636,0.61448,1.18891,0.94382,0.8724,0.94195,0.76423,0.74041,0.54588,1.3054,0.0006932,0.0006932,0.0006932
68,697.297,0.66434,0.59268,1.16753,0.92437,0.8724,0.93629,0.77126,0.73939,0.59007,1.30043,0.0006734,0.0006734,0.0006734
69,709.069,0.66581,0.56326,1.17615,0.93701,0.88287,0.93774,0.76436,0.75869,0.56042,1.30741,0.0006536,0.0006536,0.0006536
70,719.668,0.65078,0.5657,1.1548,0.9267,0.89911,0.93698,0.75686,0.7802,0.55597,1.32889,0.0006338,0.0006338,0.0006338
